{'src_ip': '192.168.240.233', 'dst_ip': '192.168.240.214', 'protocol': 17, 'src_port': 53, 'dst_port': 57096, 'packet_len': 195}
{'src_ip': '192.168.240.214', 'dst_ip': '52.66.107.225', 'protocol': 6, 'src_port': 60522, 'dst_port': 443, 'packet_len': 66}
{'src_ip': '192.168.240.214', 'dst_ip': '224.0.0.252', 'protocol': 17, 'src_port': 52888, 'dst_port': 5355, 'packet_len': 65}
{'src_ip': '52.66.107.225', 'dst_ip': '192.168.240.214', 'protocol': 6, 'src_port': 443, 'dst_port': 60522, 'packet_len': 66}
{'src_ip': '192.168.240.214', 'dst_ip': '52.66.107.225', 'protocol': 6, 'src_port': 60522, 'dst_port': 443, 'packet_len': 54}
{'src_ip': '192.168.240.214', 'dst_ip': '224.0.0.251', 'protocol': 17, 'src_port': 5353, 'dst_port': 5353, 'packet_len': 71}
{'src_ip': '192.168.240.214', 'dst_ip': '224.0.0.251', 'protocol': 17, 'src_port': 5353, 'dst_port': 5353, 'packet_len': 71}
{'src_ip': '192.168.240.214', 'dst_ip': '224.0.0.251', 'protocol': 17, 'src_port': 5353, 'dst_port': 5353, 'packet_len': 71}
{'src_ip': '192.168.240.214', 'dst_ip': '224.0.0.251', 'protocol': 17, 'src_port': 5353, 'dst_port': 5353, 'packet_len': 71}
{'src_ip': '192.168.240.214', 'dst_ip': '224.0.0.252', 'protocol': 17, 'src_port': 57142, 'dst_port': 5355, 'packet_len': 65}
{'src_ip': '192.168.240.214', 'dst_ip': '224.0.0.252', 'protocol': 17, 'src_port': 53304, 'dst_port': 5355, 'packet_len': 65}
{'src_ip': '192.168.240.214', 'dst_ip': '224.0.0.251', 'protocol': 17, 'src_port': 5353, 'dst_port': 5353, 'packet_len': 71}
{'src_ip': '192.168.240.214', 'dst_ip': '224.0.0.251', 'protocol': 17, 'src_port': 5353, 'dst_port': 5353, 'packet_len': 71}
{'src_ip': '192.168.240.214', 'dst_ip': '192.168.240.233', 'protocol': 17, 'src_port': 57536, 'dst_port': 53, 'packet_len': 92}
{'src_ip': '192.168.240.214', 'dst_ip': '108.138.26.49', 'protocol': 6, 'src_port': 60525, 'dst_port': 443, 'packet_len': 66}
{'src_ip': '192.168.240.214', 'dst_ip': '192.168.240.233', 'protocol': 17, 'src_port': 60313, 'dst_port': 53, 'packet_len': 92}
{'src_ip': '192.168.240.214', 'dst_ip': '192.168.240.233', 'protocol': 17, 'src_port': 64370, 'dst_port': 53, 'packet_len': 92}
{'src_ip': '192.168.240.214', 'dst_ip': '224.0.0.252', 'protocol': 17, 'src_port': 53304, 'dst_port': 5355, 'packet_len': 65}
{'src_ip': '192.168.240.214', 'dst_ip': '224.0.0.252', 'protocol': 17, 'src_port': 57142, 'dst_port': 5355, 'packet_len': 65}
{'src_ip': '192.168.240.214', 'dst_ip': '192.168.240.255', 'protocol': 17, 'src_port': 137, 'dst_port': 137, 'packet_len': 92}
{'src_ip': '192.168.240.233', 'dst_ip': '192.168.240.214', 'protocol': 17, 'src_port': 53, 'dst_port': 60313, 'packet_len': 212}
{'src_ip': '192.168.240.233', 'dst_ip': '192.168.240.214', 'protocol': 17, 'src_port': 53, 'dst_port': 64370, 'packet_len': 260}
{'src_ip': '192.168.240.233', 'dst_ip': '192.168.240.214', 'protocol': 17, 'src_port': 53, 'dst_port': 57536, 'packet_len': 260}
{'src_ip': '192.168.240.214', 'dst_ip': '20.189.173.26', 'protocol': 6, 'src_port': 60526, 'dst_port': 443, 'packet_len': 66}
{'src_ip': '192.168.240.214', 'dst_ip': '108.138.26.49', 'protocol': 6, 'src_port': 60527, 'dst_port': 443, 'packet_len': 66}
{'src_ip': '108.138.26.49', 'dst_ip': '192.168.240.214', 'protocol': 6, 'src_port': 443, 'dst_port': 60525, 'packet_len': 66}
{'src_ip': '192.168.240.214', 'dst_ip': '108.138.26.49', 'protocol': 6, 'src_port': 60525, 'dst_port': 443, 'packet_len': 54}
{'src_ip': '192.168.240.214', 'dst_ip': '108.138.26.49', 'protocol': 6, 'src_port': 60525, 'dst_port': 443, 'packet_len': 1354}
{'src_ip': '192.168.240.214', 'dst_ip': '108.138.26.49', 'protocol': 6, 'src_port': 60525, 'dst_port': 443, 'packet_len': 526}
{'src_ip': '192.168.240.214', 'dst_ip': '20.189.173.26', 'protocol': 6, 'src_port': 60529, 'dst_port': 443, 'packet_len': 66}
